0.0 	 0.0 
0.02 	 1437.4921014322204 
0.04 	 3146.24903456311 
0.06 	 5143.559387536913 
0.08 	 7134.19624469589 
0.1 	 9220.934934142258 
0.12 	 11159.38603190277 
0.14 	 12949.87671489789 
0.16 	 14540.169307697459 
0.18 	 15719.597446471476 
0.2 	 16729.100545842743 
0.22 	 17121.322113784176 
0.24 	 17430.91005293826 
0.26 	 17063.14489979504 
0.28 	 16736.226945973216 
0.3 	 15876.057308009706 
0.32 	 15194.70207324299 
0.34 	 14257.230386344572 
0.36 	 13582.65279094044 
0.38 	 12870.021978846664 
0.4 	 12398.263080722945 
0.42 	 11960.021109376303 
0.44 	 11680.717013687721 
0.46 	 11418.506676486204 
0.48 	 11237.47664036496 
0.5 	 11039.110667366846 
0.52 	 10875.644401902087 
0.54 	 10676.241296026008 
0.56 	 10497.059547964536 
0.58 	 10285.415722040008 
0.6 	 10098.653101086784 
0.62 	 9895.957374182432 
0.64 	 9727.110138988417 
0.66 	 9558.35080246808 
0.68 	 9425.834587927875 
0.7 	 9299.5115310506 
0.72 	 9201.970692876603 
0.74 	 9105.35037522155 
0.76 	 9023.694017929156 
0.78 	 8931.320112323048 
0.8 	 8840.344989923045 
0.82 	 8727.93126584664 
0.84 	 8609.190186967791 
0.86 	 8464.58136872491 
0.88 	 8313.622701315579 
0.9 	 8139.763351822266 
0.92 	 7965.04745973564 
0.94 	 7774.840479402777 
0.96 	 7590.342134554017 
0.98 	 7397.502852907471 
1.0 	 7213.956206776108 
1.02 	 7025.3259183640685 
1.04 	 6844.875414708251 
1.06 	 6657.821289960732 
1.08 	 6474.154584346226 
1.1 	 6279.385491642272 
1.12 	 6082.30852336161 
1.14 	 5869.810397835346 
1.16 	 5651.382131777025 
1.18 	 5416.24893313981 
1.2 	 5175.468451124084 
1.22 	 4921.052855179816 
1.24 	 4665.242935361219 
1.26 	 4402.622184844567 
1.28 	 4145.3361624786 
1.3 	 3889.7817346241022 
1.32 	 3646.504069151241 
1.34 	 3412.726019302185 
1.36 	 3196.2712071355327 
1.38 	 2994.3209186907156 
1.4 	 2811.5551984050066 
1.42 	 2644.6116049881966 
1.44 	 2495.303925481788 
1.46 	 2359.671037777486 
1.48 	 2237.4431732689936 
1.5 	 2124.3874376789754 
1.52 	 2019.177257960587 
1.54 	 1917.855251506143 
1.56 	 1819.0492627632036 
1.58 	 1719.6421682399684 
1.6 	 1618.9860502449158 
1.62 	 1515.1944893024586 
1.64 	 1408.7153951691168 
1.66 	 1298.9802695329317 
1.68 	 1187.46281384941 
1.7 	 1074.6719693670402 
1.72 	 962.6879712341827 
1.74 	 852.6200953789371 
1.76 	 746.5837384941019 
1.78 	 645.746119740127 
1.8 	 551.7550692485237 
1.82 	 465.4065018060824 
1.84 	 387.6013673986675 
1.86 	 318.5587670011832 
1.88 	 258.416227528125 
1.9 	 206.84145301269413 
1.92 	 163.3901442207061 
1.94 	 127.35795194057938 
1.96 	 97.98426523859192 
1.98 	 74.41874687115322 
2.0 	 55.82987624228007 
2.02 	 41.40887989708795 
2.04 	 30.420111789294097 
2.06 	 22.206902033161356 
2.08 	 16.208030603309055 
2.1 	 11.955984695796925 
2.12 	 9.076095282293211 
2.14 	 7.2791973715575535 
2.16 	 6.354346146876731 
2.18 	 6.160359574087252 
2.2 	 6.618329745495213 
2.22 	 7.705099324804427 
2.24 	 9.44804831675846 
2.26 	 11.921311866452807 
2.28 	 15.242637349341797 
2.3 	 19.571409348047997 
2.32 	 25.10559086314557 
2.34 	 32.07977460391729 
2.36 	 40.75907639358185 
2.38 	 51.435679144545844 
2.4 	 64.41582972180376 
2.42 	 80.01508301539162 
2.44 	 98.53416898516751 
2.46 	 120.25691880477159 
2.48 	 145.41066449008278 
2.5 	 174.17671283604653 
2.52 	 206.63079113434142 
2.54 	 242.78259033512975 
2.56 	 282.4908452928961 
2.58 	 325.55268314964337 
2.6 	 371.58563829613684 
2.62 	 420.1854384582959 
2.64 	 470.76435492321167 
2.66 	 522.7859719688586 
2.68 	 575.5484683374449 
2.7 	 628.4897791890571 
2.72 	 680.9089937741622 
2.74 	 732.3217451264317 
2.76 	 782.1238202267517 
2.78 	 829.9704456745209 
2.8 	 875.4001004735904 
2.82 	 918.2133735237983 
2.84 	 958.0858122612605 
2.86 	 994.92793505231 
2.88 	 1028.5192188184196 
2.9 	 1058.835645395884 
2.92 	 1085.7326269203072 
2.94 	 1109.2284497575622 
2.96 	 1129.2555034212878 
2.98 	 1145.888807997506 
3.0 	 1159.175381137955 
3.02 	 1169.298873315359 
3.04 	 1176.4864303878253 
3.06 	 1181.1042398806676 
3.08 	 1183.6285130264048 
3.1 	 1184.6729307552023 
3.12 	 1184.9960883951985 
3.14 	 1185.4716382490963 
3.16 	 1187.0930146086062 
3.18 	 1190.9116840749996 
3.2 	 1197.9967384061506 
3.22 	 1209.3848935560559 
3.24 	 1225.9599122183995 
3.26 	 1248.4747168875358 
3.28 	 1277.330125619453 
3.3 	 1312.7362760874119 
3.32 	 1354.3848552786294 
3.34 	 1401.8050550373757 
3.36 	 1453.933627526971 
3.38 	 1509.6847955063495 
3.4 	 1567.4296000902593 
3.42 	 1625.743899281049 
3.44 	 1682.8180098877667 
3.46 	 1737.289058372982 
3.48 	 1787.6162110551875 
3.5 	 1832.8684405271465 
3.52 	 1872.114997725165 
3.54 	 1905.047424147287 
3.56 	 1931.4415304829392 
3.58 	 1951.5437505054676 
3.6 	 1965.656421780723 
3.62 	 1974.2900401675852 
3.64 	 1977.9118121531492 
3.66 	 1976.921856230233 
